iter	Passed	Remaining
940	96812	6070
941	96931	5968
942	97046	5866
943	97156	5763
944	97274	5661
945	97385	5559
946	97491	5456
947	97599	5353
948	97706	5250
949	97796	5147
950	97882	5043
951	97970	4939
952	98050	4835
953	98141	4732
954	98227	4628
955	98318	4525
956	98404	4421
957	98493	4318
958	98583	4214
959	98674	4111
960	98764	4008
961	98849	3904
962	98932	3801
963	99015	3697
964	99095	3594
965	99178	3490
966	99260	3387
967	99360	3284
968	99499	3183
969	99631	3081
970	99713	2978
971	99796	2874
972	99880	2771
973	99977	2668
974	100092	2566
975	100196	2463
976	100299	2361
977	100396	2258
978	100492	2155
979	100580	2052
980	100660	1949
